state,county_fips,week,mask_user_pct,mask_mandate,gop_vote_share_2016,deaths_per_10k,COVID_news,retail_visit_per_hundred,COVID_news_cable,urban_population_percentage,image_users,mask_users,population_density,week_counter,week_counter_log,population
South Carolina,45043,2020-03-01 to 2020-03-07,0.0,No,56.7063595917316,0.0,0.909090909090909,3.06158264199107,0.733788395904437,58.48,24,0,73.9,1,0,62680
New Jersey,34011,2020-03-01 to 2020-03-07,0.0,No,47.2375043895538,0.0,0.909090909090909,2.76338052659386,0.733788395904437,76.97,42,0,324.4,1,0,149527
North Carolina,37119,2020-03-01 to 2020-03-07,0.0024953212726138,No,34.5536220135919,0.0,0.909090909090909,3.38702182002889,0.733788395904437,98.93,1603,4,1755.5,1,0,1110356
Alaska,2020,2020-03-01 to 2020-03-07,0.0090497737556561,No,58.3722741433406,0.0,0.909090909090909,1.96944444444444,0.733788395904437,95.88,221,2,171.2,1,0,288000
South Carolina,45057,2020-03-01 to 2020-03-07,0.0,No,63.2382892056991,0.0,0.909090909090909,4.11480226910991,0.733788395904437,50.05,10,0,139.6,1,0,98012
North Carolina,37057,2020-03-01 to 2020-03-07,0.0,No,75.3155360551783,0.0,0.909090909090909,3.15018883234194,0.733788395904437,52.62,37,0,294.7,1,0,167609
Illinois,17077,2020-03-01 to 2020-03-07,0.0,No,48.3783543628522,0.0,0.909090909090909,3.80969162995595,0.733788395904437,62.83,47,0,103.1,1,0,56750
Michigan,26093,2020-03-01 to 2020-03-07,0.0,No,65.6367761862192,0.0,0.909090909090909,3.35217062944348,0.733788395904437,63.09,85,0,320.2,1,0,191995
Minnesota,27131,2020-03-01 to 2020-03-07,0.0,No,51.6607513560568,0.0,0.909090909090909,2.22331720719106,0.733788395904437,74.07,10,0,129.4,1,0,66972
Wisconsin,55101,2020-03-01 to 2020-03-07,0.0,No,52.3079684940091,0.0,0.909090909090909,2.55665754848175,0.733788395904437,87.72,58,0,587.7,1,0,196311
Kentucky,21097,2020-03-01 to 2020-03-07,0.0,No,72.7966782748442,0.0,0.909090909090909,2.96515937731653,0.733788395904437,34.07,4,0,61.5,1,0,18886
Texas,48463,2020-03-01 to 2020-03-07,0.0,No,55.5517201702728,0.0,0.909090909090909,3.20855614973262,0.733788395904437,68.62,14,0,17.0,1,0,26741
Indiana,18039,2020-03-01 to 2020-03-07,0.028169014084507,No,66.9206267906233,0.0,0.909090909090909,2.6170271540799,0.733788395904437,79.41,71,2,426.5,1,0,206341
Arkansas,5035,2020-03-01 to 2020-03-07,0.0,No,45.3821552117871,0.0,0.909090909090909,4.44374934834741,0.733788395904437,79.11,23,0,83.5,1,0,47955
Louisiana,22019,2020-03-01 to 2020-03-07,0.0,No,67.3277415346566,0.0,0.909090909090909,5.05564403547061,0.733788395904437,79.5,120,0,181.2,1,0,203436
Florida,12083,2020-03-01 to 2020-03-07,0.0,No,63.4828017068941,0.0,0.909090909090909,3.73571786125571,0.733788395904437,68.97,111,0,209.1,1,0,365579
Indiana,18081,2020-03-01 to 2020-03-07,0.0,No,72.4121451556771,0.0,0.909090909090909,4.4130570852327,0.733788395904437,86.1,127,0,435.8,1,0,158167
Pennsylvania,42049,2020-03-01 to 2020-03-07,0.0,No,51.048326606434,0.0,0.909090909090909,2.51030667932139,0.733788395904437,79.98,131,0,351.1,1,0,269728
Connecticut,9009,2020-03-01 to 2020-03-07,0.0102040816326531,No,43.752589965021,0.0,0.909090909090909,2.4656130338798,0.733788395904437,96.36,490,5,1426.7,1,0,854757
